id,name,category,stars,description,price,image,reviews,schedule,menu,address,phone
1,Platillos Voladores,Fusión,4.5,Innovadora cocina que fusiona sabores del Pacífico colombiano con técnicas internacionales.,$$$,URL_imagen_Platillos_Voladores,"[{""autor"": ""Crítico Gastronómico"", ""texto"": ""Una explosión de sabores locales con presentaciones de alta cocina.""}, {""autor"": ""Comensal Feliz"", ""texto"": ""El ambiente es encantador y cada plato una sorpresa deliciosa.""}]","Lun-Vie: 12:00-15:00, 19:00-23:00; Sab: 13:00-16:00, 19:00-00:00; Dom: Cerrado","[{""plato"": ""Cazuela de Mariscos con Coco"", ""precio"": ""$68000""}, {""plato"": ""Lomo de Res en Salsa de Café"", ""precio"": ""$62000""}, {""plato"": ""Atún Sellado con Chontaduro"", ""precio"": ""$65000""}, {""plato"": ""Risotto de Calamar en su Tinta"", ""precio"": ""$59000""}, {""plato"": ""Carpaccio de Pulpo"", ""precio"": ""$55000""}]","Av. 3 Norte #7-19, Granada",+57 2 6687750
2,Restaurante Ringlete,Vallecaucana,4.6,Cocina tradicional del Valle del Cauca con recetas auténticas de la región.,$$,URL_imagen_Ringlete,"[{""autor"": ""Amante de lo Típico"", ""texto"": ""El auténtico sabor valluno, como cocinar en casa de la abuela.""}, {""autor"": ""Visitante"", ""texto"": ""Porciones generosas y excelente sazón criolla.""}]",Lun-Sab: 12:00-22:00; Dom: 12:00-16:30,"[{""plato"": ""Arroz Atollado"", ""precio"": ""$42000""}, {""plato"": ""Chuleta Valluna"", ""precio"": ""$38000""}, {""plato"": ""Sancocho de Gallina"", ""precio"": ""$35000""}, {""plato"": ""Marranitas con Hogao"", ""precio"": ""$16000""}, {""plato"": ""Aborrajados con Queso"", ""precio"": ""$15000""}]","Calle 15A Norte #9N-31, Granada",+57 2 6601177
3,Antigua Contemporanea Cafe,Café / Internacional,4.4,Un espacio bohemio y artístico que ofrece desde cafés especiales hasta platos fuertes con influencias mediterráneas.,$$$,URL_imagen_Antigua_Contemporanea,"[{""autor"": ""Cliente Habitual"", ""texto"": ""Perfecto para trabajar, reunirse o simplemente disfrutar de un buen café y ambiente.""}, {""autor"": ""Turista"", ""texto"": ""La decoración es fascinante y la comida acompaña muy bien la experiencia.""}]",Lun-Jue: 09:00-21:00; Vie-Sab: 09:00-22:00; Dom: 10:00-17:00,"[{""plato"": ""Brunch Especial"", ""precio"": ""$45000""}, {""plato"": ""Lasaña de Vegetales"", ""precio"": ""$35000""}, {""plato"": ""Sándwich Gourmet"", ""precio"": ""$30000""}, {""plato"": ""Torta de la Casa"", ""precio"": ""$19000""}, {""plato"": ""Cappuccino"", ""precio"": ""$9000""}]","Calle 2 #9-08B, San Antonio",+57 2 8936809
4,El Falso Olivo,Mediterránea,4.3,Especializado en cocina mediterránea con énfasis en productos frescos y de mar.,$$$,URL_imagen_El_Falso_Olivo,"[{""autor"": ""Fan del Mediterráneo"", ""texto"": ""Ingredientes de calidad y preparaciones que resaltan el sabor original.""}, {""autor"": ""Cena Romántica"", ""texto"": ""Un lugar elegante con excelente servicio para una ocasión especial.""}]","Lun-Sab: 12:00-15:00, 19:00-23:00; Dom: Cerrado","[{""plato"": ""Pulpo a la Parrilla con Papas"", ""precio"": ""$63000""}, {""plato"": ""Arroz Caldoso de Mariscos"", ""precio"": ""$58000""}, {""plato"": ""Calamari a la Romana"", ""precio"": ""$39000""}, {""plato"": ""Ensalada Griega"", ""precio"": ""$32000""}, {""plato"": ""Lomo Salteado Estilo Mediterráneo"", ""precio"": ""$56000""}]","Calle 16 #103-00, Ciudad Jardín",+57 2 5558250
5,La Hacienda Del Bosque,Típica Colombiana,4.5,Disfruta de platos típicos colombianos en el entorno histórico y natural de una hacienda.,$$$$,URL_imagen_Hacienda_Del_Bosque,"[{""autor"": ""Familia"", ""texto"": ""Un lugar hermoso para compartir en familia y disfrutar de la comida tradicional.""}, {""autor"": ""Turista"", ""texto"": ""La experiencia de la hacienda es única y la comida deliciosa.""}]",Mar-Dom: 12:00-17:00,"[{""plato"": ""Bandeja Paisa Completa"", ""precio"": ""$48000""}, {""plato"": ""Sancocho Trifásico"", ""precio"": ""$45000""}, {""plato"": ""Frijolada con Chicharrón"", ""precio"": ""$40000""}, {""plato"": ""Posta Negra"", ""precio"": ""$46000""}, {""plato"": ""Tamal Valluno"", ""precio"": ""$25000""}]",Avenida 2 Oeste #14-250,+57 3187117755
6,Empanadas Obelisco,Comida Rápida,4,Un ícono caleño para disfrutar de las tradicionales empanadas y la refrescante lulada a cualquier hora.,$,,"[{""autor"": ""Local"", ""texto"": ""Las empanadas de siempre, perfectas para un antojo rápido.""}, {""autor"": ""Rápido y Rico"", ""texto"": ""Ideal para probar un bocado típico caleño y seguir con el día.""}]",Todos los días: 06:00-23:00,"[{""plato"": ""Empanada de Carne"", ""precio"": ""$2500""}, {""plato"": ""Empanada de Pollo"", ""precio"": ""$2500""}, {""plato"": ""Lulada"", ""precio"": ""$7000""}, {""plato"": ""Champús"", ""precio"": ""$7500""}, {""plato"": ""Aborrajado"", ""precio"": ""$16000""}]","Av. Colombia #4, Normandia Sebastian de Belalcazar",+57 302 3717700
7,Zea Maiz,Arepas,4.7,Concepto innovador de arepas cuadradas con una amplia variedad de rellenos creativos.,$$,,"[{""autor"": ""Vegetariano"", ""texto"": ""Las mejores opciones vegetarianas y veganas de arepas en la ciudad.""}, {""autor"": ""Foodie"", ""texto"": ""Una forma original y deliciosa de comer arepas.""}]",Mar-Jue: 18:00-23:00; Vie-Sab: 18:00-23:30; Dom: 17:30-22:30; Lun: Cerrado,"[{""plato"": ""Arepa Zea Maiz (Combinación Especial)"", ""precio"": ""$22000""}, {""plato"": ""Arepa Vegana con Garbanzos y Aguacate"", ""precio"": ""$19000""}, {""plato"": ""Arepa de Chicharrón y Queso"", ""precio"": ""$21000""}, {""plato"": ""Mini Empanadas"", ""precio"": ""$8000""}, {""plato"": ""Limonada de Coco"", ""precio"": ""$11000""}]","Carrera 12 #1-27 Oeste, San Antonio",+57 3118462774
8,Donde Basilia,Pacífico,4.1,Auténtica sazón del Pacífico colombiano en el corazón de la Galería Alameda.,$$,,"[{""autor"": ""Conocedor"", ""texto"": ""Si quieres probar el verdadero sabor del Pacífico, este es el lugar.""}, {""autor"": ""Cliente Satisfecho"", ""texto"": ""El pescado encocado y la cazuela son espectaculares.""}]",Lun-Vie: 10:45-16:30; Sab-Dom: 10:00-16:30,"[{""plato"": ""Pescado Encocado"", ""precio"": ""$48000""}, {""plato"": ""Cazuela de Mariscos"", ""precio"": ""$45000""}, {""plato"": ""Arroz con Camarones"", ""precio"": ""$43000""}, {""plato"": ""Sudado de Piangua"", ""precio"": ""$50000""}, {""plato"": ""Patacones"", ""precio"": ""$12000""}]","Galería Alameda (Consultar Local), Comuna 9",+57 3207732242
9,Cantina La 15 Granada,Mexicana,4.3,Ambiente festivo con auténtica comida mexicana y shows de mariachis en vivo.,$$$,URL_imagen_Cantina_Granada,"[{""autor"": ""Grupo de Amigos"", ""texto"": ""Excelente ambiente para celebrar y disfrutar de la noche caleña con sabor a México.""}, {""autor"": ""Pareja"", ""texto"": ""Buenos cocteles y la música en vivo crea una atmósfera muy divertida.""}]",Dom: 12:00-22:00; Lun-Mar: 18:00-00:00; Mie: 18:00-01:00; Jue: 12:00-01:00; Vie-Sab: 12:00-02:00,"[{""plato"": ""Tacos al Pastor"", ""precio"": ""$32000""}, {""plato"": ""Fajitas Mixtas"", ""precio"": ""$48000""}, {""plato"": ""Nachos con Queso y Guacamole"", ""precio"": ""$28000""}, {""plato"": ""Margarita Clásica"", ""precio"": ""$30000""}, {""plato"": ""Enchiladas Verdes"", ""precio"": ""$35000""}]","Calle 15N #9N-62, Granada",+57 3009133447
10,The Market Cali,Gourmet Casual / Brunch,4.5,"Ofrece una variada propuesta gastronómica en un formato casual, ideal para brunch y comidas informales.",$$$,URL_imagen_The_Market,"[{""autor"": ""Brunch Lover"", ""texto"": ""El mejor brunch de la ciudad, gran variedad y calidad en un solo lugar.""}, {""autor"": ""Comida Deliciosa"", ""texto"": ""Ideal para ir cualquier día, opciones para todos los gustos en un ambiente moderno.""}]",Todos los días: 06:00-22:00,"[{""plato"": ""Desayuno Americano"", ""precio"": ""$40000""}, {""plato"": ""Hamburguesa Clásica"", ""precio"": ""$38000""}, {""plato"": ""Buffet de Almuerzo (Precio por Persona)"", ""precio"": ""$60000""}, {""plato"": ""Ensalada César con Pollo"", ""precio"": ""$35000""}, {""plato"": ""Pizza Personal"", ""precio"": ""$30000""}]","Avenida 8 Norte No 10-18, Granada",602 489 7449
